# tracked hot SDRAM functions of the 6.18.51 pad-balanced layout (>=0.25% of TX samples, non-resident)
# function	intended colour reference (6.18.45 = restored, 6.18.51 = kept)
kmalloc_reserve	6.18.45
skb_checksum	6.18.45
skb_segment	6.18.45
skb_try_coalesce	6.18.45
ip_route_use_hint	6.18.45
ip_local_deliver	6.18.45
ip_protocol_deliver_rcu	6.18.45
ip_rcv_finish_core	6.18.45
inet_ehashfn	6.18.45
tcp_sendmsg_locked	6.18.45
tcp_ack	6.18.45
__tcp_transmit_skb	6.18.45
tcp_schedule_loss_probe	6.18.45
tcp_write_xmit	6.18.45
tcp_add_backlog	6.18.45
tcp_v4_fill_cb	6.18.45
tcp_v4_rcv	6.18.45
tcp4_gro_receive	6.18.45
tcp_gso_segment	6.18.45
raw_local_deliver	6.18.45
inet_addr_hash.isra.0	6.18.45
inet_gso_segment	6.18.45
fib_validate_source	6.18.45
__alloc_frozen_pages_noprof	6.18.51
__zone_watermark_ok	6.18.51
get_page_from_freelist	6.18.51
__page_frag_alloc_align	6.18.51
kfree	6.18.51
kmem_cache_free	6.18.51
rtl8196e_poll	6.18.51
rtl8196e_start_xmit	6.18.51
rtl8196e_ring_rx_poll	6.18.51
__netif_receive_skb_core.constprop.0	6.18.51
netif_receive_skb_list_internal	6.18.51
sk_filter_trim_cap	6.18.51
dev_gro_receive	6.18.51
gro_receive_skb	6.18.51
eth_type_trans	6.18.51
csum_partial	6.18.51
__bzero	6.18.51
